total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,num_orders
44.66666666666666,14.11,4,13,14.07,73.20333333333333,4.3566666666666665,6.2,2.1766666666666667,0.0,0.0,0.0,3.0
31.15,17.849,1,12,17.762,52.909000000000006,17.760999999999996,3.2075000000000005,2.3145,4.351999999999999,1.6949999999999998,0.0,20.0
26.0,2.97,6,23,24.1,22.29,38.69,14.92,0.0,0.0,0.0,0.0,1.0
27.782608695652176,4.102173913043479,1,10,23.82565217391305,51.280869565217394,8.220869565217392,14.773478260869569,0.0,0.0,1.898695652173913,0.0,23.0
17.103448275862068,4.373103448275862,3,9,24.841379310344823,51.08241379310345,10.29103448275862,13.035172413793102,0.6837931034482758,0.0,0.0655172413793103,0.0,29.0
21.0,11.76,2,23,6.84,0.0,24.02,26.87,10.21,0.0,32.06,0.0,1.0
40.76923076923077,2.683846153846154,2,12,39.315384615384616,23.76692307692308,19.72153846153846,5.633076923076923,2.1884615384615382,0.0,6.617692307692308,2.7569230769230773,13.0
40.0,0.93,1,20,23.7,52.54,13.93,0.0,9.83,0.0,0.0,0.0,1.0
35.25,23.67,2,23,24.09125,37.56625,22.3925,12.03375,3.9175,0.0,0.0,0.0,8.0
17.75,3.004166666666667,2,8,9.296666666666669,64.83999999999999,14.153333333333334,3.2575,2.4391666666666665,5.39,0.625,0.0,12.0
24.5,11.435,1,19,7.15,0.0,0.0,38.31,51.45,3.085,0.0,0.0,2.0
46.8,17.497999999999998,1,11,31.646000000000004,5.223999999999999,4.274,12.878,5.016,3.686,36.898,0.0,5.0
36.22222222222222,1.961111111111111,7,17,26.69888888888889,3.5933333333333337,19.321111111111108,14.591111111111111,1.2633333333333334,0.1444444444444444,34.38666666666667,0.0,9.0
32.0,0.0,1,9,0.0,76.95,0.0,0.0,8.28,0.0,14.77,0.0,1.0
33.285714285714285,3.36,7,22,40.201428571428565,18.102857142857143,12.04857142857143,14.247142857142856,10.541428571428572,0.0,4.855714285714285,0.0,7.0
25.0,10.98,7,14,0.0,12.29,25.54,51.25,6.73,4.19,0.0,0.0,1.0
16.0,14.0,5,13,0.0,51.12,28.3,20.58,0.0,0.0,0.0,0.0,1.0
53.0,18.1,1,15,11.65,37.46,12.65,0.0,0.0,0.0,38.24,0.0,1.0
20.6,17.449999999999996,6,12,19.776,45.038,21.022,10.374,3.792,0.0,0.0,0.0,5.0
28.0,16.96,1,23,11.696666666666664,40.056666666666665,35.300000000000004,11.926666666666668,0.0,0.0,1.02,0.0,3.0
48.0,3.94,2,9,30.215,13.69,21.270000000000003,20.725,0.0,7.99,6.115,0.0,2.0
19.0,0.7875000000000001,3,20,28.737500000000004,0.0,30.5525,34.2,5.6425,0.0,0.8675,0.0,4.0
31.5,2.1025,7,16,18.39,20.7125,21.3475,17.497500000000002,16.214999999999996,3.7,2.135,0.0,4.0
28.0,0.0,4,23,6.98,84.96,8.06,0.0,0.0,0.0,0.0,0.0,1.0
14.0,7.49,1,11,67.74,0.0,0.0,32.26,0.0,0.0,0.0,0.0,1.0
32.75,4.8975,2,19,14.43,24.8275,21.915,23.435,10.2825,5.115,0.0,0.0,4.0
25.0,0.0,1,18,6.88,0.0,24.65,43.58,3.7,0.0,0.0,21.19,1.0
24.0,2.811666666666667,1,20,30.25833333333333,22.345,41.376666666666665,5.328333333333333,0.6916666666666668,0.0,0.0,0.0,6.0
8.5,15.345,1,21,30.05,0.0,8.735,61.215,0.0,0.0,0.0,0.0,2.0
39.66666666666666,7.77,5,12,18.225,13.985,15.951666666666666,20.13833333333333,4.751666666666666,0.0,26.94666666666667,0.0,6.0
26.0,9.91,3,19,82.54,0.0,0.0,17.46,0.0,0.0,0.0,0.0,1.0
53.5,4.85,7,19,25.7,23.32,21.485,15.395,6.17,7.925,0.0,0.0,2.0
80.0,2.78,1,23,23.13,17.26,40.4,6.15,4.68,5.16,3.2,0.0,1.0
30.6,4.542,1,21,22.020000000000003,26.048,28.656,16.892,4.79,0.0,1.59,0.0,5.0
27.0,25.95,1,12,22.27,0.0,51.86,6.15,0.0,19.72,0.0,0.0,1.0
31.0,2.9325,2,20,34.12,0.0,31.1375,34.7425,0.0,0.0,0.0,0.0,4.0
42.0,7.48,2,8,28.01,6.23,30.64,20.6,14.52,0.0,0.0,0.0,1.0
22.33333333333333,13.663333333333334,3,8,8.296666666666667,0.0,0.0,45.28333333333333,40.943333333333335,5.476666666666667,0.0,0.0,3.0
23.666666666666668,0.3366666666666666,4,12,17.539999999999996,9.273333333333332,56.71666666666667,13.46,3.01,0.0,0.0,0.0,3.0
69.0,3.16,4,23,40.14,48.3,7.2,1.58,0.0,0.0,2.78,0.0,1.0
41.0,20.261818181818185,1,13,28.030909090909088,39.91272727272728,13.62,7.469090909090909,8.094545454545456,2.8736363636363635,0.0,0.0,11.0
37.2,6.662000000000001,1,2,17.772,24.938,17.086000000000002,5.176,5.952,0.0,29.076,0.0,5.0
25.666666666666668,6.666666666666667,3,15,0.0,0.0,25.176666666666662,74.14999999999999,0.6733333333333333,0.0,0.0,0.0,3.0
51.0,0.0,7,18,60.78,0.0,7.08,0.0,0.0,0.0,32.14,0.0,1.0
19.33333333333333,1.81,1,14,7.506666666666667,3.81,56.56333333333333,8.976666666666667,14.426666666666668,8.713333333333333,0.0,0.0,3.0
26.0,23.84,4,19,0.0,13.08,27.6,35.93,14.91,8.48,0.0,0.0,1.0
